,,,,,,o,o,5,,,4,o,o,3,,,,,,,,,
,o,o,o,o,,o,o,,,,,o,o,,o,o,o,o,o,,,,
,,,o,,,,,,o,o,,,,,,o,o,o,o,,,,
,o,,6,,o,o,,o,o,o,o,,o,o,,,,1,o,o,,,o
,o,,,,o,o,,o,o,o,o,,o,o,,o,o,,o,o,,,o
,,,o,,,,,,o,o,,,,,,o,o,,x,,,,
,o,,o,o,,,,,,,,o,o,,,,,,x,x,x,,x
,o,,,,,o,o,,o,o,,o,,,,x,x,,x,x,x,,x
o,o,,o,o,,o,o,,o,o,,,,x,,,,,x,,,,
,,7,,,,,,,,,,,,,,,,,x,,o,o,
,o,o,o,o,,,,,,o,o,,x,,,P,,,x,,o,o,
,,,,o,o,,o,,,o,o,,x,,,,,o,o,,,,
o,,o,,,,,o,o,2,,,,,,,,o,o,o,x,x,x,x
o,,o,o,,o,,o,o,x,x,x,x,x,x,x,x,o,o,o,x,x,x,x
,8,,o,,o,,,,,,,x,x,,,,,,,,,,
o,o,,,,o,o,o,,o,o,,x,x,,o,o,,x,x,,,,
,o,,o,,,,,9,o,o,,,,,o,o,,x,x,,,G,
,,,o,o,o,o,o,,,,,x,x,,,,,,,,,,
